"CmtSiteCode","KnsID","SiteId"
421,991,426
422,1001,605
423,1002,606
424,1004,607
425,1005,608
426,1006,501
427,1011,609
428,1012,610
429,1013,612
430,2016,617
431,2019,619
432,2020,620
433,2021,622
434,2022,623
435,2023,624
436,2024,625
437,2025,626
438,2026,627
439,2027,628
440,2028,630
441,2029,631
442,2030,632
443,2031,633
444,2032,634
445,2033,635
446,2034,636
447,2035,637
448,2038,643
449,2041,640
450,2042,641
451,2043,642
452,2045,19
453,2048,644
454,2049,645
455,2051,646
456,2052,647
457,2053,648
458,2054,649
459,2055,652
460,2056,655
461,2057,659
462,2058,660
463,2059,661
464,2061,662
465,2062,663
466,2063,667
467,2064,668
468,2065,669
469,2066,670
470,2067,674
471,2068,675
472,2069,679
473,2070,680
474,2072,681
475,2073,682
476,2074,684
477,2075,685
478,2076,686
479,2078,688
480,2080,689
481,2081,1
482,2082,10
483,2083,11
484,2084,4
485,2085,6
486,2086,8
487,2087,3
488,2088,2
489,2089,13
490,2090,28
491,2091,27
492,2092,5
493,2093,25
494,2094,12
495,2095,19
496,2096,690
497,2098,691
498,2099,692
499,2100,693
500,2101,694
501,2105,695
502,2106,696
503,2107,65
504,2108,697
505,2109,689
506,2110,4
507,2111,2
508,2112,690
509,2113,699
510,2114,14
511,2115,6
512,2116,8
513,2117,3
514,2118,1
515,2119,13
516,2120,28
517,2121,27
518,2122,5
519,2123,10
520,2124,11
521,2126,503
522,2130,700
523,2131,701
524,2132,702
525,2137,689
526,2138,4
527,2139,2
528,2140,499
529,2141,711
530,2142,705
531,2143,706
532,2144,712
533,2145,707
534,2146,14
535,2147,28
536,2148,6
537,2149,8
538,2150,3
539,2151,13
540,2152,1
541,2153,27
542,2154,5
543,2155,10
544,2156,11
545,2157,708
546,2158,19
547,2159,25
548,2160,704
549,2161,703
550,2162,578
551,2163,583
552,2165,196
553,2166,709
554,2167,710
555,2168,12
556,2173,714
557,2175,543
558,2176,209
559,2177,722
560,2178,527
561,2179,723
562,2182,724
